timestamp,temperature_c,soil_sensor_raw
2026-03-01 06:00:00,19.2,621
2026-03-01 07:00:00,20.1,625
2026-03-01 08:00:00,22.4,630
2026-03-01 09:00:00,24.8,638
2026-03-01 10:00:00,26.3,643
2026-03-01 11:00:00,28.1,649
2026-03-01 12:00:00,29.7,655
2026-03-01 13:00:00,30.4,660
2026-03-01 14:00:00,31.0,663
2026-03-01 15:00:00,30.6,658
2026-03-01 16:00:00,29.3,651
2026-03-01 17:00:00,27.5,644
2026-03-01 18:00:00,25.8,637
2026-03-01 19:00:00,24.0,629
2026-03-01 20:00:00,22.9,622
2026-03-01 21:00:00,21.8,615
2026-03-01 22:00:00,21.1,609
2026-03-01 23:00:00,20.5,604
2026-03-02 00:00:00,20.0,599
2026-03-02 01:00:00,19.5,594
2026-03-02 02:00:00,19.1,589
2026-03-02 03:00:00,18.7,584
2026-03-02 04:00:00,18.4,580
2026-03-02 05:00:00,18.2,576
2026-03-02 06:00:00,18.9,572
2026-03-02 07:00:00,20.3,502
2026-03-02 08:00:00,22.7,498
2026-03-02 09:00:00,25.1,503
2026-03-02 10:00:00,27.0,510
2026-03-02 11:00:00,28.8,518
2026-03-02 12:00:00,30.2,527
2026-03-02 13:00:00,31.1,535
2026-03-02 14:00:00,31.5,541
2026-03-02 15:00:00,31.0,547
2026-03-02 16:00:00,29.8,553
2026-03-02 17:00:00,28.0,558
2026-03-02 18:00:00,26.2,563
2026-03-02 19:00:00,24.5,568
2026-03-02 20:00:00,23.1,572
2026-03-02 21:00:00,22.0,576
2026-03-02 22:00:00,21.2,580
2026-03-02 23:00:00,20.6,583
2026-03-03 00:00:00,20.1,586
2026-03-03 01:00:00,19.6,588
2026-03-03 02:00:00,19.2,590
2026-03-03 03:00:00,18.9,592
2026-03-03 04:00:00,18.6,594
2026-03-03 05:00:00,18.3,596
2026-03-03 06:00:00,19.0,598
2026-03-03 07:00:00,20.8,601
2026-03-03 08:00:00,23.2,606
2026-03-03 09:00:00,25.5,612
2026-03-03 10:00:00,27.4,619
2026-03-03 11:00:00,29.0,627
2026-03-03 12:00:00,30.3,634
2026-03-03 13:00:00,31.0,640
2026-03-03 14:00:00,31.4,645
2026-03-03 15:00:00,30.9,649
2026-03-03 16:00:00,29.6,652
2026-03-03 17:00:00,27.9,655
2026-03-03 18:00:00,26.1,657
2026-03-03 19:00:00,24.4,506
2026-03-03 20:00:00,23.0,502
2026-03-03 21:00:00,22.0,499
2026-03-03 22:00:00,21.3,497
2026-03-03 23:00:00,20.7,495
